datetime,count
2017-12-20,262
2017-12-21,211
2017-12-22,241
2017-12-23,374
2017-12-24,354
2017-12-25,110
2017-12-26,85
2017-12-27,181
2017-12-28,304
2017-12-29,287
2017-12-30,254
2017-12-31,314
2018-01-01,80
2018-01-02,165
2018-01-03,186
2018-01-04,144
2018-01-05,191
2018-01-06,241
2018-01-07,200
2018-01-08,146
2018-01-09,258
2018-01-10,290
2018-01-11,293
2018-01-12,203
2018-01-13,392
2018-01-14,268
2018-01-15,171
2018-01-16,255
2018-01-17,252
2018-01-18,448
2018-01-19,222
2018-01-20,463
2018-01-21,364
2018-01-22,169
2018-01-23,248
2018-01-24,292
2018-01-25,273
2018-01-26,288
2018-01-27,323
2018-01-28,136
2018-01-29,48
2018-01-30,191
2018-01-31,151
2018-02-01,324
2018-02-02,205
2018-02-03,264
2018-02-04,67
2018-02-05,55
2018-02-06,149
2018-02-07,146
2018-02-08,179
2018-02-09,199
2018-02-10,325
2018-02-11,278
2018-02-12,122
2018-02-13,128
2018-02-14,240
2018-02-15,143
2018-02-16,150
2018-02-17,397
2018-02-18,293
2018-02-19,112
2018-02-20,340
2018-02-21,253
2018-02-22,350
2018-02-23,253
2018-02-24,243
2018-02-25,115
2018-02-26,101
2018-02-27,139
2018-02-28,351
2018-03-01,284
2018-03-02,108
2018-03-03,258
2018-03-04,211
2018-03-05,32
2018-03-06,158
2018-03-07,283
2018-03-08,349
2018-03-09,221
2018-03-10,318
2018-03-11,304
2018-03-12,186
2018-03-13,213
2018-03-14,282
2018-03-15,463
2018-03-16,346
2018-03-17,346
2018-03-18,330
2018-03-19,177
2018-03-20,365
2018-03-21,338
2018-03-22,228
2018-03-23,290
2018-03-24,311
2018-03-25,405
2018-03-26,200
2018-03-27,476
2018-03-28,359
2018-03-29,330
2018-03-30,352
2018-03-31,325
2018-04-01,241
2018-04-02,150
2018-04-03,535
2018-04-04,396
2018-04-05,322
2018-04-06,610
2018-04-07,350
2018-04-08,293
2018-04-09,288
2018-04-10,453
2018-04-11,281
2018-04-12,438
2018-04-13,735
2018-04-14,445
2018-04-15,243
2018-04-16,347
2018-04-17,451
2018-04-18,512
2018-04-19,556
2018-04-20,396
2018-04-21,479
2018-04-22,247
2018-04-23,278
2018-04-24,485
2018-04-25,420
2018-04-26,287
2018-04-27,427
2018-04-28,305
2018-04-29,248
2018-04-30,230
2018-05-01,387
2018-05-02,155
2018-05-03,295
2018-05-04,366
2018-05-05,371
2018-05-06,197
2018-05-07,301
2018-05-08,488
2018-05-09,505
2018-05-10,529
2018-05-11,476
2018-05-12,426
2018-05-13,196
2018-05-14,408
2018-05-15,705
2018-05-16,417
2018-05-17,542
2018-05-18,634
2018-05-19,486
2018-05-20,261
2018-05-21,336
2018-05-22,589
2018-05-23,422
2018-05-24,415
2018-05-25,444
2018-05-26,339
2018-05-27,277
2018-05-28,389
2018-05-29,465
2018-05-30,377
2018-05-31,411
2018-06-01,318
2018-06-02,440
2018-06-03,319
2018-06-04,491
2018-06-05,544
2018-06-06,323
2018-06-07,497
2018-06-08,441
2018-06-09,375
2018-06-10,214
2018-06-11,332
2018-06-12,465
2018-06-13,312
2018-06-14,364
2018-06-15,309
2018-06-16,268
2018-06-17,214
2018-06-18,273
2018-06-19,458
2018-06-20,334
2018-06-21,166
2018-06-22,420
2018-06-23,376
2018-06-24,227
2018-06-25,281
2018-06-26,403
2018-06-27,363
2018-06-28,322
2018-06-29,534
2018-06-30,350
2018-07-01,222
2018-07-02,280
2018-07-03,363
2018-07-04,303
2018-07-05,284
2018-07-06,266
2018-07-07,488
2018-07-08,221
2018-07-09,235
2018-07-10,349
2018-07-11,251
2018-07-12,280
2018-07-13,369
2018-07-14,379
2018-07-15,236
2018-07-16,245
2018-07-17,362
2018-07-18,225
2018-07-19,254
2018-07-20,453
2018-07-21,332
2018-07-22,424
2018-07-23,449
2018-07-24,402
2018-07-25,335
2018-07-26,384
2018-07-27,478
2018-07-28,521
2018-07-29,480
2018-07-30,364
2018-07-31,335
2018-08-01,337
2018-08-02,315
2018-08-03,496
2018-08-04,453
2018-08-05,341
2018-08-06,276
2018-08-07,293
2018-08-08,348
2018-08-09,249
2018-08-10,497
2018-08-11,416
2018-08-12,310
2018-08-13,174
2018-08-14,335
2018-08-15,315
2018-08-16,286
2018-08-17,421
2018-08-18,408
2018-08-19,237
2018-08-20,217
2018-08-21,317
2018-08-22,251
2018-08-23,148
2018-08-24,394
2018-08-25,442
2018-08-26,304
2018-08-27,196
2018-08-28,460
2018-08-29,269
2018-08-30,146
2018-08-31,432
2018-09-01,325
2018-09-02,223
2018-09-03,420
2018-09-04,385
2018-09-05,358
2018-09-06,451
2018-09-07,405
2018-09-08,274
2018-09-09,194
2018-09-10,126
2018-09-11,322
2018-09-12,86
2018-09-13,146
2018-09-14,210
2018-09-15,239
2018-09-16,156
2018-09-17,145
2018-09-18,370
2018-09-19,231
2018-09-20,333
2018-09-21,248
2018-09-22,415
2018-09-23,268
2018-09-24,114
2018-09-25,374
2018-09-26,213
2018-09-27,343
2018-09-28,460
2018-09-29,313
2018-09-30,347
2018-10-01,371
2018-10-02,476
2018-10-03,301
2018-10-04,334
2018-10-05,389
2018-10-06,509
2018-10-07,237
2018-10-08,424
2018-10-09,422
2018-10-10,315
2018-10-11,233
2018-10-12,370
2018-10-13,285
2018-10-14,185
2018-10-15,321
2018-10-16,467
2018-10-17,88
2018-10-18,250
2018-10-19,261
2018-10-20,381
2018-10-21,163
2018-10-22,262
2018-10-23,356
2018-10-24,240
2018-10-25,238
2018-10-26,243
2018-10-27,283
2018-10-28,135
2018-10-29,173
2018-10-30,167
2018-10-31,249
2018-11-01,257
2018-11-02,355
2018-11-03,283
2018-11-04,223
2018-11-05,145
2018-11-06,258
2018-11-07,323
2018-11-08,252
2018-11-09,304
2018-11-10,201
2018-11-11,153
2018-11-12,186
2018-11-13,196
2018-11-14,185
2018-11-15,182
2018-11-16,237
2018-11-17,244
2018-11-18,143
2018-11-19,111
2018-11-20,220
2018-11-21,205
2018-11-22,193
2018-11-23,107
2018-11-24,199
2018-11-25,196
2018-11-26,169
2018-11-27,107
2018-11-28,165
2018-11-29,87
2018-11-30,295
2018-12-01,122
2018-12-02,143
2018-12-03,155
2018-12-04,147
2018-12-05,152
2018-12-06,113
2018-12-07,153
2018-12-08,163
2018-12-09,164
2018-12-10,164
2018-12-11,68
2018-12-12,197
2018-12-13,207
2018-12-14,229
2018-12-15,150
2018-12-16,197
2018-12-17,93
2018-12-18,123
2018-12-19,158
2018-12-20,191
2018-12-21,368
2018-12-22,384
2018-12-23,364
2018-12-24,244
2018-12-25,229
2018-12-26,118
2018-12-27,241
2018-12-28,273
2018-12-29,381
2018-12-30,250
2018-12-31,114
